ITALIA 2021;Nuovi positivi;Deceduti;;FRANCIA 2021;Nuovi positivi;Deceduti
GENNAIO;445.585;14.357;;GENNAIO;592.826;16.371
FEBBRAIO;372.503;9.183;;FEBBRAIO;484.134;10.628
MARZO;648.200;11.647;;MARZO;675.024;7.538
APRILE;439.446;11.461;;APRILE;827.241;8.108
MAGGIO;195.273;5.321;;MAGGIO;474.253;6.388
GIUGNO;42.614;1.438;;GIUGNO;98.997;1.463
LUGLIO;90.174;497;;LUGLIO;201.958;528
AGOSTO;190.152;1.158;;AGOSTO;686.943;2.038
SETTEMBRE;132.220;1.700;;SETTEMBRE;233.452;1.643
OTTOBRE;99.684;1.179;;OTTOBRE;161.023;998
NOVEMBRE;255.770;1.728;;NOVEMBRE;429.341;1.216
DICEMBRE;1.097.148;3.574;;DICEMBRE;1.506.476;3.712
Totale complessivo;4.008.769;63.243;;Totale complessivo;6.371.668;60.631
